circuit_name,intent
llm_anom_dead_gates,issue_seeking
llm_anom_fake_api_pattern,issue_seeking
llm_anom_over_entangle,issue_seeking
llm_anom_register_conflict,issue_seeking
llm_bad_reuse,issue_seeking
llm_bell_barrier,clean_control
llm_bell_inverse,clean_control
llm_bell_mid_measure,issue_seeking
llm_bell_no_reset_reuse,issue_seeking
llm_bell_phase,clean_control
llm_bell_post_measure,issue_seeking
llm_bell_reset_reuse,issue_seeking
llm_bell_state,clean_control
llm_bell,clean_control
llm_cia_demo,issue_seeking
llm_feedback_loop,issue_seeking
llm_full_stress,issue_seeking
llm_full_test_demo,clean_control
llm_ghz_four_qubit,clean_control
llm_ghz_measure_then_entangle,issue_seeking
llm_ghz_phase_kick,clean_control
llm_ghz_reset_branch,issue_seeking
llm_ghz_star_topology,clean_control
llm_ghz_three_qubit,clean_control
llm_groover,clean_control
llm_hybrid_pattern,issue_seeking
llm_measurement_misuse,issue_seeking
llm_mixed,issue_seeking
llm_noise_sensitive,issue_seeking
llm_qft_four_qubit,clean_control
llm_qft_mid_measure,issue_seeking
llm_qft_reuse_without_reset,issue_seeking
llm_qft_reverse_measure,issue_seeking
llm_qft_three_qubit,clean_control
llm_qft_truncated,issue_seeking
llm_qft,clean_control
llm_qubit_reuse,issue_seeking
llm_r1_test,issue_seeking
llm_redundant_gates,issue_seeking
llm_route_backend_stress,issue_seeking
llm_route_crisscross,issue_seeking
llm_route_dense_cz,issue_seeking
llm_route_linear_chain,issue_seeking
llm_route_long_range_pairs,issue_seeking
llm_route_measure_then_route,issue_seeking
llm_route_reset_and_move,issue_seeking
llm_route_swap_heavy_manual,issue_seeking
llm_routing_demo,issue_seeking
llm_routing,issue_seeking
llm_safe_qft_clean,clean_control
llm_safe_vqe_clean,clean_control
llm_sdk_aer_import_old,issue_seeking
llm_sdk_assemble_qobj,issue_seeking
llm_sdk_backend_old,issue_seeking
llm_sdk_execute_deprecated,issue_seeking
llm_sdk_opflow_legacy,issue_seeking
llm_swap_heavy,issue_seeking
llm_teleport_dense_entanglement,clean_control
llm_teleport_missing_reset,issue_seeking
llm_teleport_post_measure_rotation,issue_seeking
llm_teleport_rotated_source,issue_seeking
llm_teleport_standard,clean_control
llm_teleport_with_reset,clean_control
llm_teleport,clean_control
llm_vqe_deep_ansatz,clean_control
llm_vqe_mid_measure_feedback,issue_seeking
llm_vqe_no_reset_reuse,issue_seeking
llm_vqe_reset_reuse,issue_seeking
llm_vqe_three_local,clean_control
llm_vqe_two_local,clean_control
llm_vqe,clean_control
