circuit_name,category,LLM,failed,R1,R2,R3,R4,R5,RV1,fidelity,tvd,depth_src,depth_trans,vulnerable
adder_n10,other,0,0,0,0,0,0,0,1,0.30859375,0.69140625,11,120.0,1
llm_hybrid_pattern,LLM,1,0,1,1,0,0,0,1,0.8358146538728277,0.1640625,5,7.0,1
llm_bell_mid_measure,LLM,1,0,0,0,0,0,0,1,0.8932329688789094,0.1064453125,4,6.0,1
llm_route_linear_chain,LLM,1,0,0,0,0,0,0,1,0.6878578014883721,0.3115234375,6,8.0,1
llm_ghz_measure_then_entangle,LLM,1,0,0,0,0,0,0,1,0.8251714079519109,0.173828125,4,6.0,1
full_stress,other,0,0,1,1,1,0,1,0,0.9991979223886952,0.0283203125,5,8.0,1
qft_reuse_without_reset,qft,0,0,1,1,0,0,0,0,0.9722091379749201,0.0478515625,4,12.0,1
llm_bell_inverse,LLM,1,0,0,0,0,0,0,1,0.8918473844227087,0.1064453125,4,6.0,1
llm_anom_over_entangle,LLM,1,0,0,0,0,0,1,1,0.6039712202368128,0.3955078125,7,9.0,1
llm_teleport_rotated_source,LLM,1,0,0,0,0,0,0,1,0.9358102465114507,0.18359375,5,9.0,1
llm_routing_demo,LLM,1,0,0,0,1,0,0,1,0.614173877737228,0.3837890625,5,13.0,1
llm_teleport_standard,LLM,1,0,0,0,0,0,0,1,0.8343534880583471,0.1640625,5,9.0,1
vqe_mid_measure_feedback,vqe,0,0,0,0,0,0,0,1,0.9411848764861007,0.1064453125,5,8.0,1
llm_bell_phase,LLM,1,0,0,0,0,0,0,0,0.9291796915197525,0.0703125,4,5.0,0
vqe_two_local,vqe,0,0,0,0,0,0,0,0,0.9828073357044277,0.0849609375,5,10.0,0
route_swap_heavy_manual,routing,0,0,0,0,1,0,0,1,0.1396295610673301,0.8603515625,7,54.0,1
qft_truncated,qft,0,0,0,0,0,0,0,0,0.9951234548686244,0.0576171875,6,16.0,0
qft_n4,qft,0,0,0,0,0,0,1,0,0.9938877902036661,0.0595703125,9,27.0,1
dnn_n8,other,0,0,0,0,0,0,1,1,0.31624150438199466,0.6689453125,173,246.0,1
ghz_four_qubit,other,0,0,0,0,0,0,0,1,0.8866397964486326,0.11328125,5,7.0,1
llm_groover,LLM,1,0,1,1,0,0,1,1,0.29936939547365493,0.7001953125,12,33.0,1
bell_n4,other,0,0,0,0,0,0,0,1,0.9579403217954288,0.1572265625,14,24.0,1
bell_phase,other,0,0,0,0,0,0,0,0,0.9519594464619276,0.0478515625,4,5.0,0
sdk_aer_import_old,sdk,0,1,0,0,0,0,0,0,,,0,,0
llm_teleport_post_measure_rotation,LLM,1,0,1,1,0,0,0,1,0.8562455221329922,0.1435546875,6,14.0,1
adder_n4,other,0,0,0,0,0,0,1,1,0.6982421875000001,0.3017578125,12,16.0,1
grover_n2,other,0,0,0,0,0,0,1,1,0.87890625,0.12109375,12,12.0,1
llm_full_test_demo,LLM,1,0,1,1,0,0,1,1,0.6572958758297118,0.3408203125,8,10.0,1
llm_vqe_deep_ansatz,LLM,1,0,0,0,0,0,1,1,0.7684853331061434,0.341796875,9,18.0,1
llm_routing,LLM,1,0,0,0,1,0,0,1,0.5265232957069412,0.4716796875,9,42.0,1
qft_reverse_measure,qft,0,0,0,0,0,0,0,0,0.9982187767646004,0.0361328125,6,18.0,0
vqe_deep_ansatz,vqe,0,0,0,0,0,0,1,1,0.9504217026882223,0.130859375,9,18.0,1
llm_bell_barrier,LLM,1,0,0,0,0,0,0,0,0.9097097524254272,0.08984375,3,5.0,0
qaoa_n6,other,0,0,0,0,0,0,1,1,0.8957159280915392,0.2734375,110,150.0,1
bell_mid_measure,other,0,0,0,0,0,0,0,0,0.9507224711951437,0.048828125,4,6.0,0
safe_qft_clean,qft,0,0,0,0,0,0,0,0,0.9965060650981968,0.0498046875,7,21.0,0
r1_test,other,0,0,1,1,0,0,0,0,0.9992523164816173,0.02734375,3,5.0,1
teleport_with_reset,teleport,0,0,0,0,0,0,0,0,0.9983030214824699,0.029296875,8,12.0,0
llm_anom_register_conflict,LLM,1,0,0,0,0,0,1,0,0.9999389366565103,0.0078125,4,6.0,1
anom_register_conflict,other,0,0,0,0,0,0,1,0,0.9996547985021068,0.0185546875,4,6.0,1
route_measure_then_route,routing,0,0,0,0,1,0,0,1,0.4371026150538853,0.5625,5,18.0,1
llm_vqe_no_reset_reuse,LLM,1,0,1,1,0,0,0,1,0.8398646450555574,0.2705078125,6,12.0,1
bell_reset_reuse,other,0,0,0,0,0,0,0,0,0.9423389961365053,0.0576171875,5,9.0,0
anom_fake_api_pattern,other,0,0,0,0,0,0,1,1,0.800781041535897,0.19921875,6,8.0,1
teleport_dense_entanglement,teleport,0,0,0,0,0,0,0,0,0.9853473533610185,0.0849609375,6,13.0,0
llm_route_crisscross,LLM,1,0,0,0,0,0,0,1,0.6353500696988009,0.3642578125,4,12.0,1
sdk_opflow_legacy,sdk,0,1,0,0,0,1,0,0,,,0,,1
ghz_state_n23,other,0,0,0,0,0,0,0,1,0.4546887692790809,0.5439453125,24,26.0,1
llm_ghz_star_topology,LLM,1,0,0,0,0,0,0,1,0.7411725124953498,0.2587890625,5,7.0,1
teleport_missing_reset,teleport,0,0,1,1,0,0,0,1,0.9880271886566654,0.1025390625,7,11.0,1
llm_bell_no_reset_reuse,LLM,1,0,1,1,0,0,0,0,0.9176064976971163,0.08203125,4,8.0,1
llm_teleport_missing_reset,LLM,1,0,1,1,0,0,0,0,0.9980825604988901,0.0390625,7,11.0,1
ghz_measure_then_entangle,other,0,0,0,0,0,0,0,0,0.9245633334885314,0.0751953125,4,6.0,0
lllm_bad_reuse,other,0,0,1,1,0,0,0,0,0.9995788184288983,0.0205078125,3,5.0,1
llm_qft,LLM,1,0,1,1,0,0,1,0,0.9901743753253581,0.0751953125,9,29.0,1
dnn_n2,other,0,0,0,0,0,0,0,1,0.8800490929484006,0.3388671875,155,214.0,1
llm_sdk_assemble_qobj,LLM,1,1,0,0,0,1,0,0,,,0,,1
bell_post_measure,other,0,0,1,1,0,0,0,0,0.9565332150691662,0.0439453125,4,6.0,1
llm_sdk_backend_old,LLM,1,1,0,0,0,1,0,0,,,0,,1
llm_route_swap_heavy_manual,LLM,1,0,0,0,1,0,0,1,0.09466359780590754,0.9052734375,7,53.0,1
llm_safe_qft_clean,LLM,1,0,0,0,0,0,0,0,0.9983484594792803,0.0322265625,7,21.0,0
llm_qft_reuse_without_reset,LLM,1,0,1,1,0,0,0,0,0.9801702811504193,0.0439453125,4,12.0,1
qft_n18,qft,0,0,0,0,0,0,1,1,3.814697265625e-06,0.998046875,134,138.0,1
route_crisscross,routing,0,0,0,0,1,0,0,1,0.41108048635724487,0.587890625,4,24.0,1
teleport_rotated_source,teleport,0,0,0,0,0,0,0,0,0.9831590514848013,0.095703125,5,9.0,0
bv_n30,other,0,0,0,0,0,0,0,1,0.1787109375,0.8212890625,22,25.0,1
sdk_backend_old,sdk,0,1,0,0,0,1,0,0,,,0,,1
llm_qubit_reuse,LLM,1,0,1,1,0,0,1,0,0.99678976334666,0.056640625,4,8.0,1
llm_ghz_four_qubit,LLM,1,0,0,0,0,0,0,1,0.7475740071261368,0.251953125,5,7.0,1
inverseqft_n4,qft,0,0,1,0,0,0,0,1,0.814453125,0.185546875,12,22.0,1
full_test_demo,other,0,0,1,1,0,0,1,1,0.8579180970227034,0.1416015625,8,10.0,1
adder,other,0,0,0,0,0,0,0,1,0.30566406249999994,0.6943359375,11,120.0,1
bb84_n8,other,0,0,1,1,0,0,1,1,0.9153465163004922,0.1337890625,7,8.0,1
llm_bell_reset_reuse,LLM,1,0,0,0,0,0,0,0,0.9158859479669643,0.083984375,5,9.0,0
benchpress_clifford_20,other,0,1,0,0,0,0,0,0,,,0,,0
qft_mid_measure,qft,0,0,0,0,0,0,0,0,0.9668950291246261,0.0595703125,5,14.0,0
cat_state_n4,other,0,0,0,0,0,0,0,1,0.8873436456735927,0.1123046875,5,7.0,1
route_backend_stress,routing,0,0,0,0,1,0,1,1,0.9565866578687399,0.1630859375,7,40.0,1
llm_vqe_three_local,LLM,1,0,0,0,0,0,0,1,0.8931765985472592,0.2490234375,5,8.0,1
llm_vqe_two_local,LLM,1,0,0,0,0,0,0,1,0.9272748622179567,0.169921875,5,10.0,1
ghz_phase_kick,other,0,0,0,0,0,0,0,1,0.8632081023359914,0.13671875,6,8.0,1
llm_ghz_reset_branch,LLM,1,0,0,0,0,0,0,1,0.854332498239343,0.1455078125,6,8.0,1
cat_state_n8,other,0,0,0,0,0,0,0,1,0.7616442601224038,0.23828125,9,11.0,1
llm_route_backend_stress,LLM,1,0,0,0,1,0,1,1,0.9626108421697537,0.1484375,7,40.0,1
llm_r1_test,LLM,1,0,1,1,0,0,0,0,0.9996184589284959,0.01953125,3,5.0,1
llm_qft_mid_measure,LLM,1,0,0,0,0,0,0,1,0.8611623269976513,0.1376953125,5,14.0,1
llm_cia_demo,LLM,1,0,1,1,0,0,1,1,0.7614846311659546,0.23828125,6,8.0,1
llm_qft_reverse_measure,LLM,1,0,0,0,0,0,0,0,0.9971031858681587,0.0478515625,6,18.0,0
llm_sdk_opflow_legacy,LLM,1,1,0,0,0,1,0,0,,,0,,1
llm_safe_vqe_clean,LLM,1,0,0,0,0,0,0,1,0.946592203150427,0.2138671875,4,10.0,1
ghz_star_topology,other,0,0,0,0,0,0,0,0,0.9071162109683677,0.0927734375,5,7.0,0
vqe_three_local,vqe,0,0,0,0,0,0,0,0,0.9756241675730605,0.083984375,5,8.0,0
shor_n5,other,0,1,0,0,0,0,0,0,,,0,,0
qaoa_n3,other,0,0,0,0,0,0,0,0,0.9905068805867606,0.0751953125,12,17.0,0
vqe_no_reset_reuse,vqe,0,0,1,1,0,0,0,0,0.9341672461563664,0.09765625,6,12.0,1
error_correctioned3_n5,other,0,0,0,0,0,0,1,1,0.5175613406385874,0.4755859375,78,138.0,1
llm_route_reset_and_move,LLM,1,0,0,0,0,0,0,1,0.606425328755278,0.3935546875,7,14.0,1
sdk_assemble_qobj,sdk,0,1,0,0,0,1,0,0,,,0,,1
llm_vqe_mid_measure_feedback,LLM,1,0,0,0,0,0,0,1,0.8368123202701617,0.265625,5,8.0,1
llm_redundant_gates,LLM,1,0,0,0,0,0,1,0,0.9853515624999999,0.0146484375,5,1.0,1
llm_bell_post_measure,LLM,1,0,1,1,0,0,0,0,0.9089951788395737,0.08984375,4,6.0,1
bad_reuse,other,0,0,1,1,0,0,0,0,0.9998129192312267,0.013671875,3,5.0,1
multiplier_n15,other,0,0,0,0,0,0,0,1,0.16210937500000003,0.837890625,49,257.0,1
ghz_reset_branch,other,0,0,0,0,0,0,0,0,0.9199101738305006,0.080078125,6,8.0,0
llm_qft_truncated,LLM,1,0,0,0,0,0,0,0,0.9911134780987448,0.0703125,6,16.0,0
route_dense_cz,routing,0,0,0,0,1,0,1,0,0.9969882569785385,0.044921875,7,57.0,1
llm_qft_four_qubit,LLM,1,0,0,0,0,0,1,0,0.9934005133320267,0.060546875,9,29.0,1
route_reset_and_move,routing,0,0,0,0,1,0,0,1,0.5348612754550274,0.46484375,7,20.0,1
llm_teleport,LLM,1,0,0,0,0,0,0,1,0.9436327735456129,0.1845703125,5,9.0,1
deutsch_n2,other,0,0,0,0,0,0,0,0,0.9430308301747956,0.0634765625,5,8.0,0
llm_anom_fake_api_pattern,LLM,1,0,0,0,0,0,1,1,0.7899907505118834,0.2099609375,6,8.0,1
multiply_n13,other,0,0,0,0,0,0,0,1,0.4423828125,0.5576171875,8,45.0,1
llm_feedback_loop,LLM,1,1,0,0,0,0,0,0,,,0,,0
teleport_post_measure_rotation,teleport,0,0,1,1,0,0,0,0,0.9501499856429267,0.0634765625,6,14.0,1
llm_ghz_phase_kick,LLM,1,0,0,0,0,0,0,1,0.7607124712627491,0.2392578125,6,8.0,1
anom_dead_gates,other,0,0,0,0,0,0,1,0,0.9991978978896852,0.0283203125,6,4.0,1
qft_three_qubit,qft,0,0,0,0,0,0,0,0,0.9980355719715908,0.0380859375,7,21.0,0
llm_sdk_execute_deprecated,LLM,1,1,0,0,0,1,0,0,,,0,,1
cc_n12,other,0,0,1,1,0,0,0,1,0.46964312979510825,0.5283203125,39,41.0,1
llm_vqe,LLM,1,0,1,1,0,0,1,1,0.8740572740475225,0.2685546875,9,13.0,1
routing_demo,other,0,0,0,0,1,0,0,1,0.6132752948111302,0.384765625,5,13.0,1
llm_bell_state,LLM,1,0,0,0,0,0,0,0,0.9091763919349954,0.0908203125,3,5.0,0
safe_vqe_clean,vqe,0,0,0,0,0,0,0,0,0.9961809242933948,0.0361328125,4,10.0,0
sdk_execute_deprecated,sdk,0,1,0,0,0,1,0,0,,,0,,1
llm_full_stress,LLM,1,0,1,1,1,0,1,0,0.9984740278134561,0.0390625,5,8.0,1
anom_over_entangle,other,0,0,0,0,0,0,1,1,0.5941495487822774,0.4033203125,7,9.0,1
bell_inverse,other,0,0,0,0,0,0,0,0,0.9469728384450209,0.052734375,4,6.0,0
llm_qft_three_qubit,LLM,1,0,0,0,0,0,0,0,0.996554877510782,0.0458984375,7,21.0,0
llm_noise_sensitive,LLM,1,0,0,0,0,0,1,1,0.6560166762857177,0.333984375,8,11.0,1
llm_anom_dead_gates,LLM,1,0,0,0,0,0,1,0,0.9999914169229668,0.0029296875,6,4.0,1
llm_bell,LLM,1,0,0,0,0,0,0,1,0.8929414176083448,0.1064453125,4,6.0,1
swap_heavy,other,0,0,0,0,0,0,1,1,0.8808422574066213,0.119140625,5,5.0,1
fredkin_n3,other,0,0,0,0,0,0,0,1,0.7695312499999999,0.23046875,12,15.0,1
simon_n6,other,0,0,0,0,0,0,0,1,0.7624713642899739,0.232421875,9,34.0,1
teleport_standard,teleport,0,0,0,0,0,0,0,0,0.9357090486068929,0.0634765625,5,9.0,0
llm_mixed,LLM,1,0,0,0,0,0,1,1,0.6996081850209578,0.31640625,9,10.0,1
route_linear_chain,routing,0,0,0,0,0,0,0,1,0.6631965626440608,0.3349609375,6,8.0,1
toffoli_n3,other,0,0,0,0,0,0,0,1,0.7958984375,0.2041015625,13,15.0,1
bell_barrier,other,0,0,0,0,0,0,0,0,0.9462569767902602,0.0537109375,3,5.0,0
llm_teleport_with_reset,LLM,1,0,0,0,0,0,0,0,0.9966317029121075,0.048828125,8,12.0,0
llm_route_dense_cz,LLM,1,0,0,0,0,0,1,0,0.9940011131778596,0.0634765625,7,16.0,1
qft_four_qubit,qft,0,0,0,0,0,0,1,0,0.9930872763899914,0.0654296875,9,29.0,1
cia_demo,other,0,0,1,1,0,0,1,1,0.8971078386275996,0.1025390625,6,8.0,1
llm_measurement_misuse,LLM,1,0,1,1,0,0,0,0,0.9068097182554691,0.0927734375,4,6.0,1
basis_change_n3,other,0,0,0,0,0,0,0,1,0.5195312500000001,0.48046875,22,51.0,1
llm_teleport_dense_entanglement,LLM,1,0,0,0,0,0,0,1,0.9259914700254979,0.23046875,6,13.0,1
teleportation_n3,teleport,0,0,0,0,0,0,0,0,0.9852848252171587,0.0830078125,7,9.0,0
qc_sm_n5,other,0,0,1,0,0,0,0,1,0.8701171875000001,0.1298828125,7,10.0,1
